DAY_NUMBER,MONTH,MONTH_NUM,DATE,CO,OZONE,NO2,SO2,PM2.5,TEMP,CO_AQI,OZONE_AQI,NO2_AQI,SO2_AQI,PM2.5_AQI
236,AUG,8,23-08-2016 00:00,134.29,51.65,10.36,6.61,21.37,,1673.9829411764704,51.65,12.95,8.262500000000001,21.37
237,AUG,8,24-08-2016 00:00,124.3,51.01,11.24,6.85,14.9,,1557.0411764705882,51.01,14.05,8.5625,14.9
238,AUG,8,25-08-2016 00:00,148.1,27.07,12.63,7.17,21.56,,1835.641176470588,27.07,15.787500000000001,8.9625,21.56
239,AUG,8,26-08-2016 00:00,177.46,23.09,17.98,6.46,30.89,,2179.3258823529413,23.09,22.475,8.075,30.89
240,AUG,8,27-08-2016 00:00,184.89,12.91,17.01,6.8,22.09,,2266.3005882352936,12.91,21.262500000000003,8.5,22.09
241,AUG,8,28-08-2016 00:00,155.49,20.07,12.76,7.04,28.93,,1922.1476470588236,20.07,15.95,8.8,28.93
242,AUG,8,29-08-2016 00:00,113.85,22.59,14.04,6.95,24.7,,1434.7147058823527,22.59,17.549999999999997,8.6875,24.7
243,AUG,8,30-08-2016 00:00,126.92,17.53,19.05,6.86,16.74,,1587.7105882352942,17.53,23.8125,8.575000000000001,16.74
244,AUG,8,31-08-2016 00:00,141.31,17.45,20.34,7.26,19.68,,1756.1582352941175,17.45,25.425,9.075,19.68
245,SEP,11,01-09-2016 00:00,131.15,31.49,14.09,6.61,16.53,,1637.2264705882353,31.49,17.6125,8.262500000000001,16.53
246,SEP,11,02-09-2016 00:00,136.16,22.99,16.48,7.16,13.05,,1695.8729411764705,22.99,20.6,8.95,13.05
247,SEP,11,03-09-2016 00:00,126.32,18.46,14.26,6.79,14.75,,1580.6870588235292,18.46,17.825,8.4875,14.75
248,SEP,11,04-09-2016 00:00,216.17,16.42,17.98,7.04,18.31,,2632.460588235294,16.42,22.475,8.8,18.31
249,SEP,11,05-09-2016 00:00,133.91,10.63,13.33,6.78,22.46,,1669.534705882353,10.63,16.6625,8.475,22.46
250,SEP,11,06-09-2016 00:00,130.58,24.2,10.88,5.9,17.26,,1630.5541176470588,24.2,13.600000000000001,7.375,17.26
251,SEP,11,07-09-2016 00:00,89.42,25.68,18.44,5.53,14.37,,1148.74,25.68,23.05,6.9125000000000005,14.37
252,SEP,11,08-09-2016 00:00,104.32,39.12,10.71,5.39,19.53,,1323.1576470588234,39.12,13.387500000000001,6.7375,19.53
253,SEP,11,09-09-2016 00:00,112.69,48.2,12.36,5.7,21.36,,1421.135882352941,48.2,15.45,7.125,21.36
254,SEP,11,10-09-2016 00:00,147.11,36.25,16.41,5.6,27.19,,1824.0523529411764,36.25,20.5125,7.0,27.19
255,SEP,11,11-09-2016 00:00,145.66,19.09,20.8,5.02,20.99,,1807.0788235294117,19.09,26.0,6.2749999999999995,20.99
256,SEP,11,12-09-2016 00:00,194.76,10.34,27.12,4.64,30.82,,2381.837647058823,10.34,33.9,5.8,30.82
257,SEP,11,13-09-2016 00:00,250.36,15.17,28.8,5.02,31.11,,3032.684705882353,15.17,36.0,6.2749999999999995,31.11
258,SEP,11,14-09-2016 00:00,250.94,17.68,33.65,4.69,31.82,,3039.474117647059,17.68,42.0625,5.862500000000001,31.82
259,SEP,11,15-09-2016 00:00,252.37,17.43,23.47,1.67,16.61,,3056.2135294117647,17.43,29.3375,2.0875,16.61
260,SEP,11,16-09-2016 00:00,96.06,16.38,17.91,1.36,12.26,,1226.4670588235294,16.38,22.3875,1.7000000000000002,12.26
261,SEP,11,17-09-2016 00:00,55.51,11.11,22.52,1.25,17.62,,751.7935294117647,11.11,28.15,1.5625,17.62
262,SEP,11,18-09-2016 00:00,16.39,15.46,14.83,1.3,19.24,,291.8530201342282,15.46,18.5375,1.625,19.24
263,SEP,11,19-09-2016 00:00,16.87,19.71,16.73,1.24,19.43,,298.26375838926174,19.71,20.9125,1.55,19.43
264,SEP,11,20-09-2016 00:00,28.81,6.66,35.9,1.42,22.84,,439.2464705882353,6.66,44.875,1.775,22.84
265,SEP,11,21-09-2016 00:00,89.22,7.96,36.59,1.31,15.93,,1146.3988235294119,7.96,45.737500000000004,1.6375000000000002,15.93
266,SEP,11,22-09-2016 00:00,62.51,15.76,26.14,1.35,12.17,,833.7347058823528,15.76,32.675,1.6875,12.17
267,SEP,11,23-09-2016 00:00,153.28,8.07,16.54,0.87,12.04,,1896.2776470588235,8.07,20.674999999999997,1.0875,12.04
268,SEP,11,24-09-2016 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
269,SEP,11,25-09-2016 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
270,SEP,11,26-09-2016 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
271,SEP,11,27-09-2016 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
272,SEP,11,28-09-2016 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
273,SEP,11,29-09-2016 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
274,SEP,11,30-09-2016 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
275,OCT,10,01-10-2016 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
276,OCT,10,02-10-2016 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
277,OCT,10,03-10-2016 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
278,OCT,10,04-10-2016 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
279,OCT,10,05-10-2016 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
280,OCT,10,06-10-2016 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
281,OCT,10,07-10-2016 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
282,OCT,10,08-10-2016 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
283,OCT,10,09-10-2016 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
284,OCT,10,10-10-2016 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
285,OCT,10,11-10-2016 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
286,OCT,10,12-10-2016 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
287,OCT,10,13-10-2016 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
288,OCT,10,14-10-2016 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
289,OCT,10,15-10-2016 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
290,OCT,10,16-10-2016 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
291,OCT,10,17-10-2016 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
292,OCT,10,18-10-2016 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
293,OCT,10,19-10-2016 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
294,OCT,10,20-10-2016 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
295,OCT,10,21-10-2016 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
296,OCT,10,22-10-2016 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
297,OCT,10,23-10-2016 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
298,OCT,10,24-10-2016 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
299,OCT,10,25-10-2016 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
300,OCT,10,26-10-2016 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
301,OCT,10,27-10-2016 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
302,OCT,10,28-10-2016 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
303,OCT,10,29-10-2016 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
304,OCT,10,30-10-2016 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
305,OCT,10,31-10-2016 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
306,NOV,11,01-11-2016 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
307,NOV,11,02-11-2016 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
308,NOV,11,03-11-2016 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
309,NOV,11,04-11-2016 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
310,NOV,11,05-11-2016 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
311,NOV,11,06-11-2016 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
312,NOV,11,07-11-2016 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
313,NOV,11,08-11-2016 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
314,NOV,11,09-11-2016 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
315,NOV,11,10-11-2016 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
316,NOV,11,11-11-2016 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
317,NOV,11,12-11-2016 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
318,NOV,11,13-11-2016 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
319,NOV,11,14-11-2016 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
320,NOV,11,15-11-2016 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
321,NOV,11,16-11-2016 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
322,NOV,11,17-11-2016 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
323,NOV,11,18-11-2016 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
324,NOV,11,19-11-2016 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
325,NOV,11,20-11-2016 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
326,NOV,11,21-11-2016 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
327,NOV,11,22-11-2016 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
328,NOV,11,23-11-2016 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
329,NOV,11,24-11-2016 00:00,104.72,32.98,15.26,1.38,19.26,,1327.84,32.98,19.075,1.7249999999999999,19.26
330,NOV,11,25-11-2016 00:00,386.35,102.61,29.58,19.47,74.58,,4624.567647058823,103.9946,36.974999999999994,24.3375,74.58
331,NOV,11,26-11-2016 00:00,393.7,58.65,40.85,5.43,90.18,,4710.605882352941,58.65,51.0625,6.7875,90.18
332,NOV,11,27-11-2016 00:00,386.52,48.29,42.05,7.08,102.52,,4626.557647058823,48.29,52.5625,8.85,102.21448
333,NOV,11,28-11-2016 00:00,467.72,38.26,42.07,4.06,82.68,,5577.075294117647,38.26,52.5875,5.074999999999999,82.68
334,NOV,11,29-11-2016 00:00,492.96,31.29,47.53,6.3,72.93,,5872.531764705882,31.29,59.4125,7.875,72.93
335,NOV,11,30-11-2016 00:00,403.15,51.47,40.73,11.63,74.83,,4821.226470588234,51.47,50.912499999999994,14.537500000000001,74.83
336,DEC,12,01-12-2016 00:00,501.4,48.31,36.84,3.68,71.2,,5971.329411764706,48.31,46.050000000000004,4.6000000000000005,71.2
337,DEC,12,02-12-2016 00:00,725.01,36.03,29.96,1.65,49.48,,8588.881764705882,36.03,37.45,2.0625,49.48
338,DEC,12,03-12-2016 00:00,763.9,14.13,31.9,1.52,43.61,,9044.123529411763,14.13,39.875,1.9,43.61
339,DEC,12,04-12-2016 00:00,763.44,6.61,36.22,1.86,49.35,,9038.738823529411,6.61,45.275,2.325,49.35
340,DEC,12,05-12-2016 00:00,733.58,22.05,28.14,1.71,58.82,,8689.201176470588,22.05,35.175,2.1375,58.82
341,DEC,12,06-12-2016 00:00,613.08,46.51,28.89,2.87,63.58,,7278.642352941177,46.51,36.1125,3.5875000000000004,63.58
342,DEC,12,07-12-2016 00:00,534.97,23.94,33.74,2.99,67.64,,6364.295882352941,23.94,42.175000000000004,3.7375000000000003,67.64
343,DEC,12,08-12-2016 00:00,391.88,23.25,37.54,2.24,60.84,,4689.301176470588,23.25,46.925,2.8000000000000003,60.84
344,DEC,12,09-12-2016 00:00,362.27,46.94,45.85,5.84,65.11,,4342.69,46.94,57.3125,7.3,65.11
345,DEC,12,10-12-2016 00:00,354.54,55.52,44.77,10.34,74.11,,4252.203529411765,55.52,55.962500000000006,12.925,74.11
346,DEC,12,11-12-2016 00:00,321.66,56.8,42.2,7.35,70.58,,3867.314117647059,56.8,52.75,9.1875,70.58
347,DEC,12,12-12-2016 00:00,282.21,41.51,27.88,2.43,33.46,,3405.517058823529,41.51,34.85,3.0375,33.46
348,DEC,12,13-12-2016 00:00,119.21,22.47,13.2,3.81,37.43,,1497.4582352941175,22.47,16.5,4.7625,37.43
349,DEC,12,14-12-2016 00:00,119.21,22.47,13.2,3.81,37.43,,1497.4582352941175,22.47,16.5,4.7625,37.43
350,DEC,12,15-12-2016 00:00,119.21,22.47,13.2,3.81,37.43,,1497.4582352941175,22.47,16.5,4.7625,37.43
351,DEC,12,16-12-2016 00:00,119.21,22.47,13.2,3.81,37.43,,1497.4582352941175,22.47,16.5,4.7625,37.43
352,DEC,12,17-12-2016 00:00,119.21,22.47,13.2,3.81,37.43,,1497.4582352941175,22.47,16.5,4.7625,37.43
353,DEC,12,18-12-2016 00:00,119.21,22.47,13.2,3.81,37.43,,1497.4582352941175,22.47,16.5,4.7625,37.43
354,DEC,12,19-12-2016 00:00,119.21,22.47,13.2,3.81,37.43,,1497.4582352941175,22.47,16.5,4.7625,37.43
355,DEC,12,20-12-2016 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
356,DEC,12,21-12-2016 00:00,119.21,22.47,13.2,3.81,37.43,,1497.4582352941175,22.47,16.5,4.7625,37.43
357,DEC,12,22-12-2016 00:00,119.21,22.47,13.2,3.81,37.43,,1497.4582352941175,22.47,16.5,4.7625,37.43
358,DEC,12,23-12-2016 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
359,DEC,12,24-12-2016 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
360,DEC,12,25-12-2016 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
361,DEC,12,26-12-2016 00:00,119.21,22.47,13.2,3.81,37.43,,1497.4582352941175,22.47,16.5,4.7625,37.43
362,DEC,12,27-12-2016 00:00,542.39,40.01,9.09,12.01,24.22,,6451.153529411764,40.01,11.3625,15.0125,24.22
363,DEC,12,28-12-2016 00:00,2624.61,58.25,7.21,3.17,46.73,,30825.375882352942,58.25,9.0125,3.9625,46.73
364,DEC,12,29-12-2016 00:00,815.13,48.34,8.92,3.63,48.52,,9643.815882352941,48.34,11.15,4.5375,48.52
365,DEC,12,30-12-2016 00:00,593.34,37.58,14.42,2.92,63.37,,7047.568235294118,37.58,18.025,3.65,63.37
366,DEC,12,31-12-2016 00:00,166.28,9.78,26.5,3.81,65.53,,2048.4541176470584,9.78,33.125,4.7625,65.53
