DAY_NUMBER,MONTH,MONTH_NUM,DATE,CO,OZONE,NO2,SO2,PM2.5,TEMP,CO_AQI,OZONE_AQI,NO2_AQI,SO2_AQI,PM2.5_AQI,AQI_AVG,STATUS
63,MAR,3,03-03-2016 00:00,3.87,38.03,9.78,2.9,38.29,28.63,124.63959731543625,38.03,12.225,3.625,38.29,43.36191946308725,0
64,MAR,3,04-03-2016 00:00,0.58,38.25,11.37,3.69,61.32,28.71,28.999999999999996,38.25,14.212499999999999,4.6125,61.32,29.479000000000003,0
65,MAR,3,05-03-2016 00:00,0.64,39.89,12.55,2.83,59.52,29.47,32.0,39.89,15.6875,3.5375,59.52,30.127,0
66,MAR,3,06-03-2016 00:00,0.54,43.83,8.91,3.42,65.81,29.5,27.0,43.83,11.1375,4.275,65.81,30.410500000000003,0
67,MAR,3,07-03-2016 00:00,11.09,39.19,5.83,3.07,52.82,29.39,221.0677852348993,39.19,7.2875,3.8375,52.82,64.84055704697985,0
68,MAR,3,08-03-2016 00:00,0.88,40.26,10.32,2.84,80.82,29.49,44.0,40.26,12.9,3.55,80.82,36.306,0
69,MAR,3,09-03-2016 00:00,9.67,29.35,10.99,2.94,73.9,29.35,202.10268456375837,29.35,13.7375,3.675,73.9,64.55303691275168,0
70,MAR,3,10-03-2016 00:00,0.85,17.26,9.84,2.47,44.01,29.98,42.5,17.26,12.3,3.0875000000000004,44.01,23.8315,0
71,MAR,3,11-03-2016 00:00,0.92,13.47,10.62,2.61,50.62,30.04,46.0,13.47,13.274999999999999,3.2624999999999997,50.62,25.325499999999998,0
72,MAR,3,12-03-2016 00:00,9.31,11.67,18.61,2.68,43.37,30.45,197.29463087248322,11.67,23.2625,3.35,43.37,55.78942617449663,0
73,MAR,3,13-03-2016 00:00,0.92,13.13,11.39,2.58,25.95,30.39,46.0,13.13,14.2375,3.225,25.95,20.5085,0
74,MAR,3,14-03-2016 00:00,0.95,16.96,9.63,3.56,34.77,30.31,47.5,16.96,12.037500000000001,4.45,34.77,23.1435,0
75,MAR,3,15-03-2016 00:00,69.26,14.0,9.02,2.89,37.31,30.22,912.7494117647059,14.0,11.274999999999999,3.6125000000000003,37.31,195.78938235294117,0
76,MAR,3,16-03-2016 00:00,0.86,16.06,10.11,3.01,38.43,30.48,43.0,16.06,12.6375,3.7624999999999997,38.43,22.778000000000002,0
77,MAR,3,17-03-2016 00:00,0.94,13.02,16.07,3.04,38.14,30.51,47.0,13.02,20.0875,3.8,38.14,24.409499999999998,0
78,MAR,3,18-03-2016 00:00,0.95,13.7,13.59,2.75,36.09,30.29,47.5,13.7,16.9875,3.4375,36.09,23.543,0
82,MAR,3,22-03-2016 00:00,15.28,28.05,27.36,2.42,59.47,31.92,277.0281879194631,28.05,34.2,3.025,59.47,80.35463758389263,0
83,MAR,3,23-03-2016 00:00,0.86,18.95,8.97,2.73,55.38,31.73,43.0,18.95,11.2125,3.4125,55.38,26.391000000000002,0
84,MAR,3,24-03-2016 00:00,0.83,20.79,6.44,3.12,47.55,30.85,41.5,20.79,8.05,3.9000000000000004,47.55,24.358,0
86,MAR,3,26-03-2016 00:00,0.63,20.75,2.8,3.39,47.5,30.24,31.5,20.75,3.5,4.2375,47.5,21.4975,0
87,MAR,3,27-03-2016 00:00,28.43,27.85,9.79,2.94,50.29,30.29,434.7982352941176,27.85,12.237499999999999,3.675,50.29,105.77014705882353,0
88,MAR,3,28-03-2016 00:00,21.51,24.39,9.87,5.38,4.84,30.08,353.7935294117647,24.39,12.337499999999999,6.725,4.84,80.41720588235293,0
92,APR,4,01-04-2016 00:00,14.36,17.35,9.96,4.52,30.81,31.13,264.74093959731545,17.35,12.450000000000001,5.6499999999999995,30.81,66.20018791946309,0
93,APR,4,02-04-2016 00:00,0.78,19.45,8.24,3.9,32.39,31.17,39.0,19.45,10.3,4.875,32.39,21.203,0
94,APR,4,03-04-2016 00:00,18.15,18.45,10.58,4.66,32.91,31.35,314.46176470588233,18.45,13.225,5.825,32.91,76.97435294117648,0
96,APR,4,05-04-2016 00:00,0.79,15.0,17.23,2.85,38.49,31.45,39.5,15.0,21.5375,3.5625,38.49,23.618000000000002,0
97,APR,4,06-04-2016 00:00,4.69,19.45,13.54,3.51,34.82,31.56,135.59127516778523,19.45,16.924999999999997,4.387499999999999,34.82,42.23475503355704,0
98,APR,4,07-04-2016 00:00,0.97,21.57,14.52,3.03,27.07,31.94,48.5,21.57,18.15,3.7874999999999996,27.07,23.815499999999997,0
100,APR,4,09-04-2016 00:00,90.98,27.02,7.64,3.37,20.17,31.58,1167.0011764705882,27.02,9.549999999999999,4.2125,20.17,245.59073529411768,0
101,APR,4,10-04-2016 00:00,0.7,34.33,8.04,3.24,15.93,31.59,35.0,34.33,10.049999999999999,4.050000000000001,15.93,19.871999999999996,0
102,APR,4,11-04-2016 00:00,0.82,42.07,15.8,3.17,19.14,31.42,41.0,42.07,19.75,3.9625,19.14,25.1845,0
103,APR,4,12-04-2016 00:00,11.3,42.29,29.76,3.33,23.14,31.75,223.8724832214765,42.29,37.2,4.1625,23.14,66.1329966442953,0
104,APR,4,13-04-2016 00:00,0.83,52.18,28.29,3.88,30.17,32.76,41.5,52.18,35.3625,4.85,30.17,32.8125,0
105,APR,4,14-04-2016 00:00,0.81,54.82,14.22,3.24,32.87,32.91,40.5,54.82,17.775000000000002,4.050000000000001,32.87,30.002999999999997,0
106,APR,4,15-04-2016 00:00,0.78,45.41,14.82,6.45,24.35,32.66,39.0,45.41,18.525,8.0625,24.35,27.069499999999998,0
107,APR,4,16-04-2016 00:00,72.92,30.82,13.84,7.2,16.56,32.28,955.5929411764706,30.82,17.3,9.0,16.56,205.8545882352941,0
108,APR,4,17-04-2016 00:00,10.56,38.69,11.77,3.75,20.97,32.02,213.98926174496643,38.69,14.712499999999999,4.6875,20.97,58.609852348993286,0
109,APR,4,18-04-2016 00:00,0.76,31.9,12.13,3.52,18.2,32.09,38.0,31.9,15.162500000000001,4.4,18.2,21.532500000000002,0
110,APR,4,19-04-2016 00:00,0.67,21.84,10.78,3.12,15.57,32.03,33.5,21.84,13.475,3.9000000000000004,15.57,17.657,0
111,APR,4,20-04-2016 00:00,0.89,20.2,14.54,3.34,21.05,32.3,44.5,20.2,18.174999999999997,4.175,21.05,21.619999999999997,0
112,APR,4,21-04-2016 00:00,26.65,30.52,17.72,4.49,21.67,32.88,413.96176470588233,30.52,22.15,5.612500000000001,21.67,98.78285294117646,0
114,APR,4,23-04-2016 00:00,1.06,42.29,22.81,6.21,39.69,33.87,53.0,42.29,28.5125,7.7625,39.69,34.251,0
115,APR,4,24-04-2016 00:00,0.74,53.29,18.92,5.11,39.69,33.32,37.0,53.29,23.650000000000002,6.3875,39.69,32.003499999999995,0
116,APR,4,25-04-2016 00:00,6.78,36.25,17.62,3.92,34.9,33.37,163.50469798657718,36.25,22.025000000000002,4.9,34.9,52.315939597315435,0
118,APR,4,27-04-2016 00:00,0.86,25.62,18.01,3.93,20.82,32.14,43.0,25.62,22.512500000000003,4.9125000000000005,20.82,23.373,0
